epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5304,1.07625,4.57456,1.01441,0,0,0,0,0.68448,4.50402,0.82549,8.5e-05,8.5e-05,8.5e-05
2,155.397,0.76866,3.81805,0.86161,0.05438,0.3619,0.14202,0.11317,0.7037,4.16236,0.82955,0.000171535,0.000171535,0.000171535
3,231.582,0.77761,2.95584,0.85676,0.06933,0.98307,0.40913,0.34743,0.68062,3.3647,0.82618,0.000254506,0.000254506,0.000254506
4,308.21,0.75126,2.21903,0.85425,0.08136,0.93651,0.44587,0.37345,0.6545,3.36925,0.83719,0.000333913,0.000333913,0.000333913
5,383.197,0.72753,1.81531,0.85002,0.57086,0.34817,0.53189,0.44445,0.64251,2.53395,0.84277,0.000409756,0.000409756,0.000409756
6,458.994,0.68759,1.56833,0.85059,0.5034,0.75177,0.69333,0.59654,0.6496,1.77272,0.8357,0.0004505,0.0004505,0.0004505
7,534.614,0.68952,1.39794,0.85005,0.60811,0.8127,0.79433,0.68737,0.62173,1.37742,0.83484,0.0004406,0.0004406,0.0004406
8,608.87,0.63788,1.20958,0.84117,0.56597,0.90285,0.79476,0.68808,0.60852,1.21014,0.83753,0.0004307,0.0004307,0.0004307
9,683.037,0.63384,1.09032,0.84352,0.69193,0.92408,0.85885,0.7432,0.59005,1.06478,0.83946,0.0004208,0.0004208,0.0004208
10,757.627,0.60942,0.99012,0.84646,0.69493,0.92695,0.87449,0.76786,0.57686,0.97962,0.83486,0.0004109,0.0004109,0.0004109
11,833.739,0.61582,0.95774,0.84198,0.71668,0.87424,0.88316,0.78298,0.56165,0.95105,0.83129,0.000401,0.000401,0.000401
12,908.802,0.59782,0.89778,0.83602,0.75083,0.96215,0.91607,0.81002,0.55097,0.83386,0.82839,0.0003911,0.0003911,0.0003911
13,984.229,0.58473,0.83522,0.83799,0.70701,0.95665,0.91833,0.81792,0.54456,0.82563,0.82776,0.0003812,0.0003812,0.0003812
14,1059.29,0.59452,0.82229,0.84104,0.78309,0.94531,0.92524,0.81692,0.55556,0.76287,0.82702,0.0003713,0.0003713,0.0003713
15,1127.15,0.57715,0.77871,0.84117,0.81663,0.89592,0.92754,0.81846,0.56605,0.78334,0.83063,0.0003614,0.0003614,0.0003614
16,1194.91,0.57755,0.72774,0.83696,0.82555,0.91456,0.93949,0.84175,0.54216,0.72874,0.82367,0.0003515,0.0003515,0.0003515
17,1262.68,0.57769,0.73702,0.83155,0.80881,0.93955,0.9127,0.80423,0.53047,0.73891,0.82059,0.0003416,0.0003416,0.0003416
18,1330.65,0.56579,0.71105,0.83433,0.78421,0.94114,0.93538,0.8328,0.53852,0.74177,0.82416,0.0003317,0.0003317,0.0003317
19,1405.45,0.56583,0.68179,0.83901,0.83323,0.94161,0.94181,0.84449,0.54272,0.71748,0.82096,0.0003218,0.0003218,0.0003218
20,1485.18,0.56358,0.69541,0.8329,0.8313,0.93525,0.93389,0.84743,0.51727,0.69182,0.81686,0.0003119,0.0003119,0.0003119
21,1561.11,0.55409,0.66223,0.8346,0.83811,0.94066,0.93759,0.8425,0.53142,0.66306,0.81969,0.000302,0.000302,0.000302
